DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|CasNumber|IngredientName|MatchingStrategy|PercentofConfidence|DisclosureStatus|IsSand|SandMeshSize|SandQuality|IsResinCoated|IsArtificial
3768|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|129898017|"2-propenoic acid, polymer with sodium phosphinate"|"NO CAS MATCH FOUND"||Disclosed|||||
3769|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1302745|"aluminum oxide corundum"|"NO CAS MATCH FOUND"||Disclosed|||||Y
3770|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|13028|"mulite"|"NO CAS MATCH FOUND"||Disclosed|||||Y
3771|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1303964|"borate salt"|"NO CAS MATCH FOUND"||Disclosed|||||
3772|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1303964|"sodium biborate decahydrate"|"NO CAS MATCH FOUND"||Disclosed|||||
3773|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1305755|"mulite"|"NO CAS MATCH FOUND"||Disclosed|||||Y
3774|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1309371|"colorant"|"NO CAS MATCH FOUND"||Disclosed|||||
3775|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1309428|"magnesium hydroxide"|"NO CAS MATCH FOUND"||Disclosed|||||
3776|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1310583|"potassiu hydrocide"|"NO CAS MATCH FOUND"||Disclosed|||||
3777|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68131395|"surfactant"|"NO CAS MATCH FOUND"||Disclosed|||||
3778|2016-08-05 22:27:18.7033561|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68131715|"polyphosphoric acids, esters with triethanolamine"|"By CAS Number"|95|Disclosed|||||
3779|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68131726|"sodium salt of phospate ether"|"NO CAS MATCH FOUND"||Disclosed|||||
3780|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68140012|"cocamidopropyl dimethylamine"|"NO CAS MATCH FOUND"||Disclosed|||||
